n:75 mse_avg:0.78 mse_y:0.93 mse_u:0.60 mse_v:0.37 psnr_avg:49.20 psnr_y:48.46 psnr_u:50.31 psnr_v:52.40
n:76 mse_avg:0.80 mse_y:0.96 mse_u:0.62 mse_v:0.38 psnr_avg:49.07 psnr_y:48.31 psnr_u:50.22 psnr_v:52.37
n:77 mse_avg:0.79 mse_y:0.93 mse_u:0.62 mse_v:0.37 psnr_avg:49.18 psnr_y:48.44 psnr_u:50.23 psnr_v:52.42
n:78 mse_avg:0.81 mse_y:0.96 mse_u:0.63 mse_v:0.38 psnr_avg:49.05 psnr_y:48.30 psnr_u:50.12 psnr_v:52.36
n:79 mse_avg:0.82 mse_y:0.97 mse_u:0.65 mse_v:0.38 psnr_avg:48.99 psnr_y:48.24 psnr_u:50.03 psnr_v:52.32
n:80 mse_avg:0.80 mse_y:0.95 mse_u:0.63 mse_v:0.37 psnr_avg:49.10 psnr_y:48.36 psnr_u:50.11 psnr_v:52.41
n:81 mse_avg:0.81 mse_y:0.96 mse_u:0.64 mse_v:0.38 psnr_avg:49.04 psnr_y:48.29 psnr_u:50.09 psnr_v:52.39
n:82 mse_avg:0.79 mse_y:0.93 mse_u:0.62 mse_v:0.37 psnr_avg:49.16 psnr_y:48.43 psnr_u:50.19 psnr_v:52.42
n:83 mse_avg:0.80 mse_y:0.94 mse_u:0.63 mse_v:0.37 psnr_avg:49.13 psnr_y:48.39 psnr_u:50.17 psnr_v:52.42
n:84 mse_avg:0.79 mse_y:0.94 mse_u:0.62 mse_v:0.38 psnr_avg:49.15 psnr_y:48.41 psnr_u:50.22 psnr_v:52.38
n:85 mse_avg:0.76 mse_y:0.89 mse_u:0.60 mse_v:0.37 psnr_avg:49.34 psnr_y:48.63 psnr_u:50.32 psnr_v:52.45
n:86 mse_avg:0.76 mse_y:0.90 mse_u:0.61 mse_v:0.37 psnr_avg:49.29 psnr_y:48.58 psnr_u:50.26 psnr_v:52.48
n:87 mse_avg:0.74 mse_y:0.87 mse_u:0.60 mse_v:0.37 psnr_avg:49.42 psnr_y:48.73 psnr_u:50.34 psnr_v:52.44
n:88 mse_avg:0.92 mse_y:1.10 mse_u:0.71 mse_v:0.44 psnr_avg:48.47 psnr_y:47.72 psnr_u:49.62 psnr_v:51.66
n:89 mse_avg:0.79 mse_y:0.92 mse_u:0.62 mse_v:0.40 psnr_avg:49.17 psnr_y:48.47 psnr_u:50.21 psnr_v:52.06
n:90 mse_avg:0.77 mse_y:0.90 mse_u:0.62 mse_v:0.40 psnr_avg:49.26 psnr_y:48.58 psnr_u:50.20 psnr_v:52.11
n:91 mse_avg:0.78 mse_y:0.91 mse_u:0.63 mse_v:0.40 psnr_avg:49.21 psnr_y:48.52 psnr_u:50.14 psnr_v:52.15
n:92 mse_avg:0.81 mse_y:0.96 mse_u:0.64 mse_v:0.40 psnr_avg:49.03 psnr_y:48.31 psnr_u:50.08 psnr_v:52.14
n:93 mse_avg:0.83 mse_y:0.99 mse_u:0.65 mse_v:0.40 psnr_avg:48.93 psnr_y:48.20 psnr_u:50.01 psnr_v:52.12
n:94 mse_avg:0.84 mse_y:1.00 mse_u:0.65 mse_v:0.40 psnr_avg:48.89 psnr_y:48.15 psnr_u:49.99 psnr_v:52.12
n:95 mse_avg:0.84 mse_y:1.00 mse_u:0.65 mse_v:0.40 psnr_avg:48.88 psnr_y:48.13 psnr_u:49.99 psnr_v:52.15
n:96 mse_avg:0.82 mse_y:0.97 mse_u:0.64 mse_v:0.39 psnr_avg:48.99 psnr_y:48.25 psnr_u:50.07 psnr_v:52.17
n:97 mse_avg:0.84 mse_y:1.00 mse_u:0.66 mse_v:0.40 psnr_avg:48.89 psnr_y:48.15 psnr_u:49.96 psnr_v:52.14
n:98 mse_avg:0.85 mse_y:1.01 mse_u:0.65 mse_v:0.40 psnr_avg:48.84 psnr_y:48.08 psnr_u:49.98 psnr_v:52.16
n:99 mse_avg:0.86 mse_y:1.02 mse_u:0.66 mse_v:0.40 psnr_avg:48.79 psnr_y:48.03 psnr_u:49.93 psnr_v:52.13
n:100 mse_avg:0.87 mse_y:1.04 mse_u:0.67 mse_v:0.40 psnr_avg:48.72 psnr_y:47.95 psnr_u:49.90 psnr_v:52.10
n:101 mse_avg:0.88 mse_y:1.05 mse_u:0.67 mse_v:0.40 psnr_avg:48.70 psnr_y:47.91 psnr_u:49.90 psnr_v:52.15
n:102 mse_avg:0.88 mse_y:1.05 mse_u:0.67 mse_v:0.40 psnr_avg:48.70 psnr_y:47.92 psnr_u:49.87 psnr_v:52.14
n:103 mse_avg:0.85 mse_y:1.02 mse_u:0.65 mse_v:0.40 psnr_avg:48.81 psnr_y:48.05 psnr_u:49.97 psnr_v:52.16
n:104 mse_avg:0.83 mse_y:0.99 mse_u:0.65 mse_v:0.39 psnr_avg:48.92 psnr_y:48.16 psnr_u:50.03 psnr_v:52.24
n:105 mse_avg:0.79 mse_y:0.93 mse_u:0.62 mse_v:0.38 psnr_avg:49.16 psnr_y:48.43 psnr_u:50.19 psnr_v:52.29
n:106 mse_avg:0.80 mse_y:0.94 mse_u:0.64 mse_v:0.39 psnr_avg:49.10 psnr_y:48.39 psnr_u:50.08 psnr_v:52.18
n:107 mse_avg:0.76 mse_y:0.89 mse_u:0.62 mse_v:0.38 psnr_avg:49.32 psnr_y:48.63 psnr_u:50.21 psnr_v:52.30
n:108 mse_avg:0.78 mse_y:0.91 mse_u:0.64 mse_v:0.39 psnr_avg:49.23 psnr_y:48.56 psnr_u:50.06 psnr_v:52.25
n:109 mse_avg:0.75 mse_y:0.86 mse_u:0.62 mse_v:0.39 psnr_avg:49.41 psnr_y:48.76 psnr_u:50.18 psnr_v:52.22
n:110 mse_avg:0.76 mse_y:0.88 mse_u:0.64 mse_v:0.39 psnr_avg:49.31 psnr_y:48.67 psnr_u:50.06 psnr_v:52.17
n:111 mse_avg:0.78 mse_y:0.90 mse_u:0.65 mse_v:0.41 psnr_avg:49.24 psnr_y:48.60 psnr_u:50.00 psnr_v:52.03
n:112 mse_avg:0.76 mse_y:0.87 mse_u:0.64 mse_v:0.41 psnr_avg:49.35 psnr_y:48.73 psnr_u:50.05 psnr_v:51.98
n:113 mse_avg:0.79 mse_y:0.91 mse_u:0.66 mse_v:0.42 psnr_avg:49.17 psnr_y:48.54 psnr_u:49.93 psnr_v:51.91
n:114 mse_avg:0.80 mse_y:0.93 mse_u:0.68 mse_v:0.41 psnr_avg:49.08 psnr_y:48.44 psnr_u:49.84 psnr_v:51.97
n:115 mse_avg:0.81 mse_y:0.94 mse_u:0.67 mse_v:0.41 psnr_avg:49.05 psnr_y:48.38 psnr_u:49.89 psnr_v:51.98
n:116 mse_avg:0.82 mse_y:0.95 mse_u:0.67 mse_v:0.41 psnr_avg:49.02 psnr_y:48.34 psnr_u:49.85 psnr_v:52.03
n:117 mse_avg:1.02 mse_y:1.21 mse_u:0.80 mse_v:0.49 psnr_avg:48.03 psnr_y:47.29 psnr_u:49.12 psnr_v:51.21
n:118 mse_avg:0.87 mse_y:1.02 mse_u:0.69 mse_v:0.43 psnr_avg:48.74 psnr_y:48.03 psnr_u:49.77 psnr_v:51.75
n:119 mse_avg:0.81 mse_y:0.95 mse_u:0.65 mse_v:0.42 psnr_avg:49.03 psnr_y:48.35 psnr_u:49.99 psnr_v:51.90
n:120 mse_avg:0.79 mse_y:0.92 mse_u:0.64 mse_v:0.42 psnr_avg:49.14 psnr_y:48.48 psnr_u:50.04 psnr_v:51.92
n:121 mse_avg:0.75 mse_y:0.91 mse_u:0.54 mse_v:0.35 psnr_avg:49.36 psnr_y:48.56 psnr_u:50.77 psnr_v:52.66
n:122 mse_avg:0.76 mse_y:0.92 mse_u:0.57 mse_v:0.35 psnr_avg:49.31 psnr_y:48.52 psnr_u:50.56 psnr_v:52.74
n:123 mse_avg:0.76 mse_y:0.91 mse_u:0.58 mse_v:0.35 psnr_avg:49.30 psnr_y:48.52 psnr_u:50.48 psnr_v:52.72
n:124 mse_avg:0.73 mse_y:0.87 mse_u:0.57 mse_v:0.35 psnr_avg:49.48 psnr_y:48.73 psnr_u:50.58 psnr_v:52.74
n:125 mse_avg:0.72 mse_y:0.85 mse_u:0.57 mse_v:0.33 psnr_avg:49.59 psnr_y:48.85 psnr_u:50.58 psnr_v:52.88
n:126 mse_avg:0.71 mse_y:0.84 mse_u:0.57 mse_v:0.33 psnr_avg:49.62 psnr_y:48.89 psnr_u:50.59 psnr_v:52.90
n:127 mse_avg:0.74 mse_y:0.88 mse_u:0.59 mse_v:0.34 psnr_avg:49.44 psnr_y:48.70 psnr_u:50.43 psnr_v:52.79
n:128 mse_avg:0.73 mse_y:0.87 mse_u:0.59 mse_v:0.34 psnr_avg:49.48 psnr_y:48.75 psnr_u:50.41 psnr_v:52.78
n:129 mse_avg:0.74 mse_y:0.88 mse_u:0.60 mse_v:0.35 psnr_avg:49.42 psnr_y:48.70 psnr_u:50.32 psnr_v:52.74
n:130 mse_avg:0.78 mse_y:0.93 mse_u:0.62 mse_v:0.36 psnr_avg:49.21 psnr_y:48.47 psnr_u:50.18 psnr_v:52.57
n:131 mse_avg:0.77 mse_y:0.92 mse_u:0.61 mse_v:0.36 psnr_avg:49.26 psnr_y:48.51 psnr_u:50.28 psnr_v:52.60
n:132 mse_avg:0.81 mse_y:0.96 mse_u:0.63 mse_v:0.36 psnr_avg:49.07 psnr_y:48.30 psnr_u:50.13 psnr_v:52.56
n:133 mse_avg:0.83 mse_y:0.99 mse_u:0.65 mse_v:0.37 psnr_avg:48.94 psnr_y:48.17 psnr_u:50.01 psnr_v:52.48
n:134 mse_avg:0.81 mse_y:0.96 mse_u:0.63 mse_v:0.37 psnr_avg:49.05 psnr_y:48.29 psnr_u:50.11 psnr_v:52.48
n:135 mse_avg:0.83 mse_y:0.99 mse_u:0.64 mse_v:0.37 psnr_avg:48.94 psnr_y:48.17 psnr_u:50.04 psnr_v:52.47
n:136 mse_avg:0.85 mse_y:1.01 mse_u:0.65 mse_v:0.37 psnr_avg:48.86 psnr_y:48.08 psnr_u:49.97 psnr_v:52.44
n:137 mse_avg:0.85 mse_y:1.01 mse_u:0.66 mse_v:0.37 psnr_avg:48.85 psnr_y:48.07 psnr_u:49.96 psnr_v:52.45
n:138 mse_avg:0.85 mse_y:1.02 mse_u:0.66 mse_v:0.37 psnr_avg:48.82 psnr_y:48.03 psnr_u:49.95 psnr_v:52.44
n:139 mse_avg:0.86 mse_y:1.03 mse_u:0.66 mse_v:0.37 psnr_avg:48.78 psnr_y:47.99 psnr_u:49.91 psnr_v:52.45
n:140 mse_avg:0.87 mse_y:1.04 mse_u:0.66 mse_v:0.37 psnr_avg:48.76 psnr_y:47.96 psnr_u:49.92 psnr_v:52.45
n:141 mse_avg:0.87 mse_y:1.04 mse_u:0.67 mse_v:0.37 psnr_avg:48.76 psnr_y:47.96 psnr_u:49.90 psnr_v:52.43
